推,噓,分數,作者,標題,時間
8,0,8,lalalamb (lala),[問卦] 通姦除罪化是不是影響不大?,Sat May 30 10:37:11 2020
10,3,7,losh (007),[問卦] 假如中國現在支持美國黑人人權會怎樣,Sat May 30 04:20:54 2020
69,6,63,whiteadam (blue eyes blue),[問卦] 鄭伊健是最帥的香港男明星嗎?,Sat May 30 01:52:10 2020
4,1,3,lianpig5566 (家庭教師殺手里包恩),[問卦] 不會翻身的蟲在想什麼,Sat May 30 11:10:06 2020
1,0,1,autechre (Untilted),Re,Sat May 30 07:13:10 2020
56,6,50,bubu26 (白寶),[問卦] 那種人妻進職場一樣非常受大家歡迎,Sat May 30 08:33:37 2020
7,1,6,lovekimbum (千山暮雪 隻影向誰去),[問卦] 雙主修課表怎麼辦到的阿?,Sat May 30 02:36:47 2020
29,3,26,jiangjiang33 (yo man),[新聞] 17歲少女和20歲情郎私奔！遭16男當眾扒衣,Sat May 30 01:15:20 2020
3,4,-1,parttime (PTrrr),[問卦] 通姦除罪後要怎麼抓姦在床？,Sat May 30 10:57:33 2020
10,0,10,ryusenming (射出來...就沒事了),[問卦] 會常常看自己的存款嗎?,Sat May 30 10:02:40 2020
6,2,4,ketter (挖西林老背),[問卦] 哪一艘船可以打贏航母？,Sat May 30 10:56:48 2020
2,3,-1,antonysole (辰辰),Re,Sat May 30 10:50:39 2020
13,8,5,iamgaylan (),[問卦] 台女：反通姦除罪=沒自信=矮窮挫,Sat May 30 02:36:50 2020
42,9,33,zakijudelo (柴克豬大佬),[問卦] 中共在香港舞劍，卻是劍指台灣嗎？,Sat May 30 10:27:20 2020
5,0,5,RLAPH (川尻浩作),Re,Sat May 30 05:40:41 2020
130,35,95,nasha2 (蝴蝶效應 六度分隔理論),[新聞] 通姦罪違憲》大法官吳陳鐶 唯一提出不同,Sat May 30 02:02:48 2020
1,0,1,DMGA (DMGA),[問卦] 是痛苦造就了我們嗎？,Sat May 30 04:24:31 2020
5,0,5,gk1329 (),Re,Sat May 30 10:45:22 2020
15,8,7,sabrina1113 (1017),Re,Sat May 30 03:27:36 2020
6,0,6,hmenri (),[問卦] 和美鎮柑井里電信基地台有後續嗎,Sat May 30 10:10:50 2020
3,1,2,SkyPlus (Sky),Re,Sat May 30 09:36:11 2020
4,2,2,end56 (終結56),[問卦] 被學生綁在校門的八卦,Sat May 30 07:10:02 2020
5,2,3,goldsingle (BE A FULLSER),Re,Sat May 30 09:52:21 2020
0,0,0,kingfsg7326 (認 同 請 按 2 ),[新聞] 中共人大通過港版國安法草案 賴清德：,Sat May 30 11:08:54 2020
1,1,0,dangerousair (balabababa),[問卦] 這是什麼蟲蟲啊,Sat May 30 09:58:08 2020
11,1,10,a1234555 (阿姆姆最乖最棒最可愛),[問卦] 台灣的通姦跟國外哪裡不一樣阿,Sat May 30 02:42:39 2020
21,10,11,SammySosa (我沒用禁藥),[問卦] 有沒有女人樣貌(以卡卡兒為例)千變萬化的八卦?,Sat May 30 02:16:48 2020
2,4,-2,Dinenger (低能兒),Re,Sat May 30 01:03:20 2020
8,2,6,k321045 (蒜泥厲害),[問卦] 晚上公園有點陰森是正常的嗎,Sat May 30 01:13:48 2020
6,5,1,Willis5566 ((〃∀〃)),[問卦] 把偽娘灌醉有機會%%嗎？,Sat May 30 01:26:28 2020
8,0,8,LaAc (深淵戰士),[問卦] 為什麼技職體系在高教會跟普大混在一起,Sat May 30 08:22:21 2020
0,2,-2,k90209 (k90209),[問卦] 機車行的阿弟仔是不是普遍滿帥的,Sat May 30 10:59:51 2020
2,6,-4,z842657913 (小鈞),[問卦] 腋下控進來一下,Sat May 30 02:00:56 2020
36,4,32,lelena (馬利克),"[問卦] 香港不再高收入,房價是否崩盤的八卦?",Sat May 30 08:09:55 2020
4,13,-9,King5566 (小兔子暗黑無限破),[問卦] 欸 還沒睡的肥宅過來一下,Sat May 30 02:33:25 2020
11,0,11,LAPDSWAT456 (胖達稱霸地球),[問卦] 美國是不是想把尼哥國甩給支那？,Sat May 30 07:46:30 2020
1,4,-3,iComeInPeace (匹——嘶！),[問卦] 賴床賴要1小時有多強,Sat May 30 09:02:16 2020
17,11,6,secretfly (☠鬼滅·     之喵喵),[問卦] 朋友在ig上po說背肌太小？？,Sat May 30 01:13:07 2020
